id,Age
74051,8
74052,8
74053,10
74054,9
74055,8
74056,12
74057,11
74058,9
74059,12
74060,10
74061,13
74062,10
74063,5
74064,13
74065,6
74066,6
74067,11
74068,12
74069,10
74070,11
74071,16
74072,9
74073,10
74074,10
74075,12
74076,9
74077,14
74078,12
74079,9
74080,11
74081,11
74082,10
74083,10
74084,14
74085,12
74086,8
74087,10
74088,12
74089,10
74090,11
74091,7
74092,10
74093,11
74094,10
74095,17
74096,12
74097,7
74098,6
74099,12
74100,10
74101,11
74102,10
74103,9
74104,11
74105,9
74106,12
74107,10
74108,6
74109,10
74110,6
74111,11
74112,7
74113,9
74114,11
74115,9
74116,9
74117,14
74118,10
74119,9
74120,16
74121,10
74122,7
74123,12
74124,5
74125,8
74126,8
74127,11
74128,11
74129,9
74130,11
74131,11
74132,8
74133,11
74134,12
74135,5
74136,7
74137,6
74138,16
74139,11
74140,14
74141,10
74142,11
74143,15
74144,15
74145,11
74146,8
74147,11
74148,6
74149,10
74150,7
74151,9
74152,13
74153,11
74154,8
74155,7
74156,13
74157,11
74158,14
74159,11
74160,13
74161,11
74162,10
74163,10
74164,9
74165,10
74166,8
74167,11
74168,10
74169,12
74170,10
74171,13
74172,11
74173,8
74174,12
74175,10
74176,10
74177,11
74178,12
74179,14
74180,6
74181,9
74182,11
74183,8
74184,12
74185,12
74186,11
74187,9
74188,13
74189,6
74190,9
74191,11
74192,12
74193,9
74194,5
74195,12
74196,11
74197,11
74198,8
74199,10
74200,11
74201,8
74202,12
74203,11
74204,10
74205,10
74206,10
74207,9
74208,13
74209,15
74210,10
74211,8
74212,9
74213,11
74214,12
74215,9
74216,8
74217,16
74218,12
74219,9
74220,15
74221,8
74222,11
74223,10
74224,8
74225,10
74226,10
74227,11
74228,5
74229,12
74230,10
74231,9
74232,10
74233,7
74234,11
74235,13
74236,8
74237,9
74238,10
74239,7
74240,8
74241,8
74242,13
74243,11
74244,7
74245,11
74246,10
74247,9
74248,9
74249,14
74250,11
74251,15
74252,9
74253,12
74254,11
74255,11
74256,11
74257,12
74258,4
74259,12
74260,9
74261,8
74262,5
74263,11
74264,11
74265,12
74266,9
74267,12
74268,7
74269,8
74270,10
74271,12
74272,16
74273,7
74274,14
74275,8
74276,9
74277,10
74278,13
74279,11
74280,12
74281,13
74282,12
74283,12
74284,9
74285,8
74286,11
74287,12
74288,12
74289,8
74290,11
74291,11
74292,10
74293,8
74294,11
74295,13
74296,12
74297,11
74298,14
74299,11
74300,10
74301,12
74302,10
74303,10
74304,12
74305,10
74306,9
74307,9
74308,12
74309,11
74310,15
74311,9
74312,14
74313,12
74314,11
74315,9
74316,10
74317,10
74318,12
74319,13
74320,7
74321,9
74322,12
74323,12
74324,12
74325,8
74326,8
74327,10
74328,10
74329,9
74330,8
74331,6
74332,11
74333,14
74334,11
74335,11
74336,9
74337,9
74338,10
74339,9
74340,9
74341,9
74342,9
74343,9
74344,11
74345,10
74346,8
74347,12
74348,10
74349,8
74350,11
74351,13
74352,14
74353,10
74354,13
74355,8
74356,6
74357,10
74358,7
74359,9
74360,9
74361,11
74362,8
74363,10
74364,10
74365,6
74366,5
74367,8
74368,9
74369,9
74370,12
74371,11
74372,11
74373,11
74374,10
74375,8
74376,11
74377,10
74378,14
74379,12
74380,10
74381,10
74382,12
74383,9
74384,10
74385,10
74386,12
74387,11
74388,8
74389,9
74390,6
74391,9
74392,9
74393,12
74394,8
74395,9
74396,10
74397,8
74398,9
74399,12
74400,13
74401,8
74402,9
74403,11
74404,8
74405,19
74406,5
74407,9
74408,10
74409,12
74410,10
74411,11
74412,10
74413,10
74414,12
74415,13
74416,10
74417,16
74418,10
74419,11
74420,11
74421,10
74422,6
74423,9
74424,9
74425,8
74426,11
74427,10
74428,9
74429,13
74430,6
74431,6
74432,10
74433,14
74434,12
74435,9
74436,12
74437,10
74438,12
74439,9
74440,12
74441,10
74442,12
74443,7
74444,9
74445,11
74446,14
74447,10
74448,5
74449,8
74450,10
74451,14
74452,11
74453,6
74454,11
74455,10
74456,11
74457,8
74458,8
74459,9
74460,9
74461,13
74462,8
74463,11
74464,13
74465,6
74466,13
74467,12
74468,8
74469,10
74470,13
74471,12
74472,13
74473,17
74474,6
74475,11
74476,9
74477,10
74478,10
74479,14
74480,10
74481,9
74482,9
74483,9
74484,12
74485,14
74486,7
74487,5
74488,10
74489,7
74490,8
74491,9
74492,7
74493,11
74494,12
74495,12
74496,6
74497,10
74498,11
74499,6
74500,10
74501,10
74502,11
74503,10
74504,12
74505,9
74506,9
74507,10
74508,7
74509,14
74510,11
74511,12
74512,10
74513,12
74514,10
74515,10
74516,6
74517,7
74518,12
74519,10
74520,6
74521,10
74522,10
74523,9
74524,10
74525,8
74526,9
74527,10
74528,11
74529,9
74530,10
74531,10
74532,10
74533,10
74534,6
74535,11
74536,6
74537,8
74538,10
74539,9
74540,9
74541,10
74542,11
74543,11
74544,11
74545,9
74546,16
74547,11
74548,15
74549,8
74550,13
74551,12
74552,9
74553,10
74554,10
74555,11
74556,9
74557,12
74558,10
74559,10
74560,10
74561,12
74562,6
74563,10
74564,10
74565,10
74566,10
74567,13
74568,5
74569,14
74570,12
74571,5
74572,7
74573,13
74574,11
74575,7
74576,9
74577,9
74578,7
74579,12
74580,10
74581,11
74582,6
74583,12
74584,11
74585,14
74586,4
74587,7
74588,10
74589,9
74590,11
74591,10
74592,11
74593,5
74594,11
74595,13
74596,12
74597,9
74598,6
74599,9
74600,7
74601,8
74602,10
74603,6
74604,12
74605,6
74606,9
74607,12
74608,10
74609,7
74610,11
74611,9
74612,12
74613,10
74614,9
74615,10
74616,7
74617,11
74618,7
74619,10
74620,10
74621,6
74622,9
74623,8
74624,10
74625,10
74626,12
74627,10
74628,11
74629,11
74630,14
74631,14
74632,9
74633,14
74634,9
74635,11
74636,13
74637,8
74638,7
74639,10
74640,8
74641,8
74642,9
74643,11
74644,11
74645,4
74646,9
74647,11
74648,13
74649,6
74650,13
74651,9
74652,12
74653,6
74654,12
74655,12
74656,9
74657,10
74658,13
74659,10
74660,10
74661,13
74662,9
74663,12
74664,12
74665,14
74666,11
74667,8
74668,13
74669,11
74670,11
74671,10
74672,11
74673,10
74674,9
74675,12
74676,10
74677,10
74678,10
74679,11
74680,10
74681,8
74682,10
74683,7
74684,7
74685,6
74686,6
74687,10
74688,10
74689,10
74690,9
74691,10
74692,8
74693,8
74694,11
74695,10
74696,6
74697,10
74698,8
74699,11
74700,9
74701,10
74702,12
74703,7
74704,11
74705,6
74706,7
74707,6
74708,12
74709,10
74710,7
74711,12
74712,13
74713,8
74714,9
74715,11
74716,9
74717,8
74718,11
74719,9
74720,9
74721,11
74722,14
74723,10
74724,12
74725,14
74726,12
74727,9
74728,12
74729,9
74730,10
74731,9
74732,11
74733,12
74734,8
74735,12
74736,8
74737,12
74738,8
74739,12
74740,9
74741,9
74742,13
74743,12
74744,10
74745,8
74746,12
74747,11
74748,11
74749,10
74750,8
74751,10
74752,9
74753,8
74754,12
74755,11
74756,8
74757,10
74758,12
74759,8
74760,12
74761,10
74762,8
74763,14
74764,11
74765,9
74766,10
74767,7
74768,10
74769,9
74770,10
74771,12
74772,11
74773,11
74774,12
74775,13
74776,11
74777,7
74778,7
74779,10
74780,11
74781,8
74782,10
74783,11
74784,10
74785,12
74786,11
74787,13
74788,7
74789,5
74790,9
74791,13
74792,6
74793,7
74794,13
74795,13
74796,12
74797,9
74798,14
74799,10
74800,14
74801,9
74802,12
74803,12
74804,11
74805,10
74806,6
74807,5
74808,7
74809,15
74810,7
74811,11
74812,9
74813,12
74814,11
74815,9
74816,12
74817,14
74818,9
74819,9
74820,12
74821,11
74822,11
